GC	overallBiases	overallSkews	AT1	GC1	AT2	GC2	AT4	GC4	aaAvgCost	aaAvgCost_Aer_Het	aaAvgCost_An_Het	aaAvgCost_Aer_Phot	aaAvgCost_An_Phot
10.400002	10	-0.8	-0.79959583	-0.7907325	-0.8347769	-0.83724904	-0.7994038	-0.79808694	42.30891	50.20273	8.4815235	51.529617	10.988433
10.400002	15	-0.7	-0.6974502	-0.68311685	-0.7719409	-0.7716278	-0.69751966	-0.70434195	40.762688	48.42143	8.463236	49.623516	10.669749
10.400002	20	-0.6	-0.5937939	-0.57090884	-0.71270734	-0.7191509	-0.5973666	-0.5988346	39.251545	46.665207	8.455221	47.74832	10.384227
10.400002	25	-0.5	-0.48825997	-0.45983773	-0.6581758	-0.66793424	-0.4981318	-0.48963255	37.81757	44.980145	8.476513	45.952183	10.155706
10.400002	30	-0.4	-0.3805461	-0.34941137	-0.60078984	-0.61298615	-0.39942867	-0.3996959	36.393616	43.28897	8.508177	44.15289	9.955755
10.400002	35	-0.3	-0.2712573	-0.24520114	-0.53841805	-0.55148715	-0.2976958	-0.28757602	35.025013	41.63864	8.572203	42.398518	9.806173
10.400002	40	-0.2	-0.16048405	-0.12993959	-0.4701315	-0.50082844	-0.19686817	-0.19714965	33.732487	40.06009	8.644995	40.7229	9.685339
10.400002	45	-0.1	-0.04702809	-0.029012706	-0.3880736	-0.42093506	-0.09890435	-0.107795216	32.514866	38.53351	8.753072	39.103416	9.619854
10.400002	50	0.0	0.06687701	0.074405946	-0.29715934	-0.34135467	0.0036753495	0.0012656448	31.333155	37.04283	8.88045	37.521885	9.584911
10.400002	55	0.1	0.18171972	0.17318715	-0.19052899	-0.23686442	0.10345558	0.0902164	30.279253	35.675915	9.02177	36.072514	9.585123
10.400002	60	0.2	0.2946777	0.26720163	-0.06972305	-0.12015584	0.20743579	0.20692553	29.356115	34.4404	9.202548	34.758945	9.638875
10.400002	65	0.3	0.4050715	0.3624355	0.06669727	0.0032968868	0.29077545	0.28872973	28.54969	33.321598	9.396703	33.567593	9.721098
10.400002	70	0.4	0.51148885	0.45653567	0.21138026	0.14316566	0.40362686	0.3910578	27.940737	32.43134	9.615197	32.614395	9.848654
10.400002	75	0.5	0.6132247	0.5466139	0.36212638	0.2943479	0.49538568	0.5161701	27.505533	31.723925	9.847887	31.851597	10.004392
10.400002	80	0.6	0.7082696	0.6347262	0.50998807	0.45215294	0.6010668	0.5928797	27.276638	31.25759	10.080152	31.340204	10.177289
10.400002	85	0.7	0.79482174	0.726779	0.6528543	0.60078824	0.6979081	0.70195794	27.259373	31.03729	10.331431	31.083946	10.384102
10.400002	90	0.8	0.873268	0.8148969	0.7844912	0.747642	0.7961733	0.81918633	27.447142	31.059757	10.580296	31.080498	10.60275
10.500002	10	-0.8	-0.79916245	-0.7915976	-0.83638793	-0.8368617	-0.79926825	-0.79984254	42.237885	50.11837	8.47177	51.440872	10.97143
10.500002	15	-0.7	-0.69764376	-0.68333447	-0.77031285	-0.7732597	-0.7001648	-0.6931723	40.696148	48.344086	8.445729	49.542393	10.644708
10.500002	20	-0.6	-0.5934843	-0.5728923	-0.7141404	-0.71205395	-0.598168	-0.61052084	39.22131	46.62872	8.450208	47.71051	10.376572
10.500002	25	-0.5	-0.48915866	-0.46355885	-0.6574255	-0.6598285	-0.49492356	-0.49426574	37.76408	44.91493	8.459712	45.88411	10.135372
10.500002	30	-0.4	-0.3800297	-0.35291415	-0.6009059	-0.6098518	-0.40252003	-0.3976243	36.37437	43.252842	8.504682	44.116287	9.950349
10.500002	35	-0.3	-0.27150232	-0.24225488	-0.5398906	-0.5571825	-0.3004663	-0.29044834	35.03934	41.64118	8.572115	42.403122	9.809772
10.500002	40	-0.2	-0.15987796	-0.13695206	-0.46823165	-0.48753238	-0.19710219	-0.18023255	33.703857	40.01937	8.634762	40.681114	9.674337
10.500002	45	-0.1	-0.04576537	-0.031151889	-0.39188784	-0.4157259	-0.10632919	-0.105302095	32.483154	38.488537	8.752173	39.05778	9.617757
10.500002	50	0.0	0.067372	0.07585526	-0.29795802	-0.3379975	0.003240919	-0.012008734	31.334955	37.035213	8.872	37.515644	9.577933
10.500002	55	0.1	0.18195766	0.17212486	-0.18996091	-0.23242427	0.09508541	0.08189331	30.257519	35.6335	9.021172	36.029213	9.582425
10.500002	60	0.2	0.29473174	0.26859337	-0.06922128	-0.122795425	0.19886462	0.20546143	29.320244	34.390724	9.194482	34.708187	9.629633
10.500002	65	0.3	0.40465665	0.3655666	0.06793801	0.0010648755	0.30361325	0.30735293	28.54293	33.3126	9.393951	33.55838	9.718812
10.500002	70	0.4	0.512035	0.45573944	0.21078598	0.14250067	0.39725485	0.4057239	27.912703	32.38212	9.602161	32.565083	9.8348465
10.500002	75	0.5	0.61299807	0.54742527	0.36303475	0.29242063	0.500779	0.50521094	27.495123	31.698774	9.839641	31.826374	9.995831
10.500002	80	0.6	0.7076403	0.6351321	0.5131235	0.45088258	0.5942808	0.5936953	27.273022	31.234152	10.085437	31.316263	10.181963
10.500002	85	0.7	0.79502624	0.72619075	0.65338755	0.59998554	0.69729084	0.7007701	27.241629	30.999573	10.32654	31.046274	10.379158
