GC	skewAT1	skewGC1	skewAT2	skewGC2	skewAT4	skewGC4	costPerAA
24.1000000000001	0.05237253707309	0.078591109505742	-0.24797560941499	-0.343523493168094	-0.00282296007527894	0.000491791761317065	28.274708062646
24.1500000000001	0.0524864272313285	0.0775400353090735	-0.247071078156851	-0.342246881282427	0.00386894778038689	-0.00665822666104	28.2271792364104
24.2000000000001	0.0527224159164629	0.0783755566065517	-0.247164064092291	-0.338890354348017	0.000454095419591612	-0.000563353833153373	28.2281327859336
24.2500000000001	0.052664219924863	0.0783050847457627	-0.24755484288029	-0.336750339510229	-0.00029915041282757	-0.00085338007703485	28.2334516332742
24.3000000000001	0.0516235077494973	0.0781991785352323	-0.249323807308207	-0.339785563352725	-0.000445249191130636	-0.00208439483070082	28.2283682858159
24.3500000000001	0.0528720236315582	0.0779653001507404	-0.244870900013736	-0.340230105632267	0.00164230336746168	0.00254782971232686	28.1753674623163
24.4000000000001	0.052675740682975	0.0779350374057476	-0.243779863265266	-0.344406643986392	0.00112163877328138	0.008735230564112	28.1623311188344
24.4500000000001	0.0532533948467967	0.0777818932218636	-0.245968321215997	-0.342486916220415	-0.0018189884649512	0.00401588098389084	28.1785995107003
24.5000000000001	0.0525213947238136	0.0768696287093004	-0.245066413929067	-0.343216197749544	0.000199894870105352	-0.00168841836269052	28.1873809563095
24.5500000000001	0.0515060500190101	0.0772340219865199	-0.245550796545241	-0.341873540351181	0.000457004702725812	0.00866660648189943	28.1733975133012
24.6000000000001	0.0526049564541501	0.0776419883938139	-0.247081871328521	-0.340445212880916	0.00425394115136082	0.00291019017754416	28.1434149282925
24.6500000000001	0.0518474549825037	0.0788274565252248	-0.247472487638553	-0.344370288401688	0.00179409632466553	0.00403780650109404	28.12975998512
24.7000000000001	0.0517077281082049	0.0777288244390628	-0.245030412178463	-0.338619106176959	-0.00246191382566711	-0.000314677455608002	28.1250265874867
24.7500000000001	0.0514229366543934	0.0753033661513969	-0.243898847449948	-0.342265718389075	-0.00256344338756473	0.00365957066987995	28.1160592919704
24.8000000000001	0.0519670135359907	0.0781555669890326	-0.247624694664393	-0.34230752752667	-0.000468926305300333	-0.00195642507781236	28.1179494410253
24.8500000000001	0.0531769314510311	0.0753896328708458	-0.243593162257386	-0.338851907768323	0.00273123742676319	0.00315680257842336	28.0975203512398
24.9000000000001	0.0503186185130552	0.0775625110194549	-0.243569565736169	-0.340752954108271	0.00022669933087133	0.00182461694035921	28.1132121433939
24.9500000000001	0.0518908524659817	0.0814546442119618	-0.243062239104313	-0.343882036983185	0.00120957987259092	-0.00627165475198456	28.1059195970402
25.0000000000001	0.0500319796558923	0.0768593567537406	-0.24368842364532	-0.34280241487233	0.00176901326759951	-0.000373044260604332	28.0654428672786
25.0500000000001	0.0512545627939097	0.0784016973533626	-0.244017556860286	-0.342034588343968	0.00141568638897808	0.000762909518931055	28.0656023171988
25.1000000000001	0.0521642789927519	0.0790453151051307	-0.241004597222262	-0.3464336582828	0.00323293949367643	-0.0024477417957327	28.030806084597
25.1500000000001	0.0508481649633081	0.0784591637066833	-0.240567559772816	-0.339828255459387	1.45802350333887e-05	-0.00362694300518135	28.0697286651357
25.2000000000001	0.051453342038218	0.0785393640975169	-0.243396355978758	-0.339222014608459	-0.00216374778542592	0.000924194553700002	28.0350008324996
25.2500000000001	0.0513908263986376	0.076425428892004	-0.242880581945018	-0.343378941408132	0.004787743376955	0.00198628820401102	28.0154916922542
25.3000000000001	0.0512869915807993	0.0788958624756771	-0.241383856535658	-0.34033293254983	-0.00132759733900162	0.000382587995238905	28.003381898309
25.3500000000001	0.0510352853274794	0.0769650639503976	-0.242925701535197	-0.344260640668758	0.00355183367022813	0.000806280500742627	27.9947149026425
25.4000000000001	0.0508816209785105	0.0810039705048213	-0.242765946463702	-0.342724036762406	0.000862650148245341	-0.000809578593037624	28.0056207971896
25.4500000000001	0.0503026991826846	0.0780567901933584	-0.242911378924251	-0.342511832319135	-0.00232949398214055	0.000232651593663417	27.9654208172896
25.5000000000001	0.0502694742326994	0.078696574736741	-0.240975643445831	-0.340184804235659	-0.00310115536067158	-0.000967850530213769	27.9901315049342
25.5500000000001	0.0511491401476937	0.0785160350841546	-0.241057515891829	-0.339182765247294	0.00186819187767654	-0.00540972909255478	27.9732515633742
