GC	overallATGCskew	AT1	GC1	AT2	GC2	AT4	GC4	aaAvgCost
10.300001	45	0.06675894	-0.030120015	-0.29907098	-0.41438708	0.006314938	-0.0833891	31.382004
10.300001	25	0.06381644	-0.450947	-0.30674917	-0.707963	0.004625125	-0.50690246	31.515902
10.300001	55	0.06955803	0.17637575	-0.29871058	-0.24982582	4.0841333E-4	0.07687776	31.320045
10.300001	65	0.06996077	0.3689808	-0.29472253	-0.045305993	0.0019153169	0.31072176	31.286003
10.300001	75	0.07139081	0.5585096	-0.29022682	0.18357903	-0.0067930818	0.50044763	31.26422
10.300001	50	0.06764332	0.074272946	-0.29751357	-0.33636308	-0.0012807003	-0.0024428798	31.373426
10.300001	90	0.073543966	0.83053523	-0.28853452	0.62044734	0.010546063	0.801456	31.221306
10.300001	85	0.073821135	0.7424571	-0.2894107	0.46099365	-1.8941188E-4	0.6949362	31.242687
10.300001	60	0.06848386	0.27410495	-0.29485506	-0.15032199	-0.00819203	0.21658987	31.32909
10.300001	80	0.07250679	0.6492097	-0.2895656	0.32252288	-0.008209821	0.6083381	31.240938
10.400002	25	0.06332404	-0.4523484	-0.3037114	-0.70592034	3.5469845E-4	-0.5055524	31.468225
10.400002	15	0.062014617	-0.6687326	-0.30718094	-0.83307916	-4.0579925E-4	-0.7047639	31.560923
10.400002	10	0.06048533	-0.7789742	-0.30648255	-0.8910158	-0.0017878074	-0.79910535	31.58749
10.300001	70	0.07066186	0.4646207	-0.29298937	0.06592097	-0.003759845	0.42023546	31.27852
10.400002	30	0.06387647	-0.34461552	-0.30224568	-0.63927037	-3.9597473E-4	-0.41565135	31.489864
10.400002	35	0.06436667	-0.24124461	-0.3006686	-0.56722784	-0.0034913425	-0.29237494	31.415934
10.400002	20	0.062323034	-0.55787057	-0.30472937	-0.7753884	7.4790523E-4	-0.604692	31.500637
10.400002	60	0.06883536	0.2729358	-0.29360744	-0.15377668	-1.9549647E-4	0.19409347	31.316414
10.400002	40	0.06534325	-0.13224393	-0.29921207	-0.50055283	7.993605E-4	-0.1970803	31.3869
10.400002	45	0.06713393	-0.029805502	-0.3002986	-0.4173913	0.0018673704	-0.095919445	31.373081
10.400002	55	0.06715752	0.1732132	-0.2942932	-0.24704005	0.004871679	0.086394355	31.303991
10.400002	50	0.068583146	0.07019203	-0.2986945	-0.32610953	-0.0048018047	-0.013760179	31.342192
10.400002	85	0.07299508	0.7402239	-0.28821453	0.46863073	-0.009230769	0.7055336	31.212471
10.400002	70	0.07087627	0.465667	-0.29240164	0.06390771	0.0045103976	0.37706032	31.244884
10.400002	65	0.07026048	0.37059408	-0.29447109	-0.045266397	-0.002629861	0.29804924	31.287853
10.400002	75	0.0716763	0.558047	-0.29275647	0.19001812	-0.003307057	0.5107034	31.25888
10.400002	90	0.07369552	0.8297341	-0.28725925	0.6253963	-0.0037025919	0.80797637	31.205153
10.500002	25	0.06267368	-0.4495514	-0.3022112	-0.7088842	-0.0040058265	-0.5083638	31.4733
10.400002	80	0.07072823	0.6499773	-0.28819674	0.3238579	-0.0035124926	0.58632225	31.24297
10.500002	10	0.060612973	-0.77750444	-0.3082947	-0.8895197	0.007308735	-0.8010101	31.593187
10.500002	15	0.061152965	-0.6700692	-0.30641645	-0.8294979	0.0034072583	-0.7046938	31.538446
10.500002	30	0.06432383	-0.34629387	-0.30439284	-0.64426243	7.590133E-4	-0.39472792	31.415699
10.500002	20	0.062114056	-0.56186557	-0.3053872	-0.76661915	-0.0011340154	-0.60417986	31.509094
10.500002	35	0.06521214	-0.23856539	-0.30339184	-0.5734391	-0.0016078985	-0.3066089	31.415594
10.500002	40	0.066309236	-0.13351761	-0.30006766	-0.5040356	-0.004815831	-0.19377688	31.34985
