GC	overallATGCskew	AT1	GC1	AT2	GC2	AT4	GC4	aaAvgCost
10.1	30	-0.3792202	0.06619278	-0.60448307	-0.2945399	-0.40301573	0.0046855733	36.373573
10.1	45	-0.046471693	0.07321176	-0.38985726	-0.34018058	-0.09832977	0.014472585	32.5515
10.1	50	0.068196595	0.07170187	-0.29911935	-0.33157116	-0.0053256997	0.0024712894	31.425385
10.1	35	-0.26971772	0.07031935	-0.54108393	-0.314219	-0.30438453	-0.005116398	35.027603
10.1	40	-0.15788117	0.069663666	-0.47256038	-0.32116225	-0.19433859	-0.008185538	33.765083
10.1	55	0.18040736	0.070978485	-0.19297026	-0.3282173	0.10171998	0.00877193	30.389334
10.1	65	0.4023956	0.06561721	0.058451887	-0.29025808	0.29603577	-0.0226581	28.60925
10.1	60	0.29315346	0.0703902	-0.07365208	-0.31278428	0.18984078	-0.0018000327	29.437405
10.1	70	0.5083449	0.06356681	0.19764806	-0.2627245	0.40797323	0.0033898305	27.958878
10.1	75	0.6075397	0.058761258	0.35075223	-0.23412548	0.5015301	-0.019446522	27.463713
10.1	80	0.70308274	0.04787082	0.49749738	-0.1925659	0.60263884	0.006899351	27.111448
10.1	85	0.79079646	0.04131173	0.6401606	-0.15303595	0.70085555	0.002151463	26.955017
10.1	90	0.86887074	0.034832947	0.7773597	-0.1170338	0.7988948	0.0011576754	27.002602
10.200001	15	-0.69654423	0.047553413	-0.78186035	-0.18475287	-0.7003607	-0.0054856404	40.54458
10.200001	10	-0.7986669	0.04099364	-0.84560907	-0.1477298	-0.80038315	0.013727561	42.042896
10.200001	30	-0.37979347	0.06530048	-0.6034947	-0.29116037	-0.39703467	0.01894685	36.310963
10.200001	45	-0.04619854	0.073747054	-0.39212072	-0.33278164	-0.09795053	-0.0048335865	32.548923
10.200001	35	-0.26975793	0.06687203	-0.5416246	-0.3133296	-0.30141488	0.011728316	35.013996
10.200001	20	-0.59336317	0.054936692	-0.7209902	-0.22615233	-0.6005205	0.00518836	39.077095
10.200001	25	-0.48740306	0.0603402	-0.66372204	-0.265688	-0.49920622	2.3573785E-4	37.68436
10.200001	40	-0.15690985	0.07139749	-0.47081697	-0.32943285	-0.20037203	0.01924619	33.731922
10.200001	50	0.067464724	0.07200548	-0.29922816	-0.33501416	7.9889136E-4	-0.006847361	31.407417
10.200001	55	0.17993875	0.07256914	-0.19146894	-0.32883182	0.099071786	-0.012393609	30.340609
10.200001	60	0.29310542	0.06891168	-0.074474245	-0.3119292	0.19811746	0.014479215	29.432743
10.200001	65	0.40299067	0.06545429	0.055986527	-0.28379422	0.30533123	-0.006955946	28.599026
10.300001	15	-0.6967459	0.04852305	-0.78037614	-0.1890907	-0.6974332	0.007631947	40.47784
10.200001	70	0.5088322	0.05946685	0.19803971	-0.26012713	0.39982378	0.010175439	27.93292
10.200001	85	0.789763	0.046179887	0.64180654	-0.16573589	0.6983409	0.009556169	26.934435
10.200001	75	0.60738796	0.05751249	0.3504196	-0.23525321	0.500496	0.0019033118	27.444223
10.200001	90	0.868689	0.033209328	0.7765274	-0.11543537	0.7987341	0.013045434	26.965427
10.200001	80	0.7028101	0.047351748	0.49678528	-0.19027887	0.5986873	9.6693094E-4	27.115065
10.300001	20	-0.59330773	0.05381339	-0.7223628	-0.22573122	-0.59587115	-0.0067649996	39.052135
10.300001	25	-0.4868	0.062184796	-0.6648255	-0.2662423	-0.5012767	-0.007875788	37.657486
10.300001	10	-0.79840547	0.039475344	-0.8463416	-0.14397217	-0.8023272	0.0034342804	41.977726
10.300001	30	-0.3789003	0.06368727	-0.6029279	-0.28059223	-0.406202	-0.01551683	36.26145
10.300001	40	-0.15764692	0.0694485	-0.4709895	-0.32827318	-0.20211822	0.01773779	33.678932
10.300001	35	-0.26881647	0.06989598	-0.54194283	-0.31468242	-0.30247882	0.005330358	34.975918
10.300001	45	-0.045474563	0.07031371	-0.3909038	-0.33049557	-0.09900113	0.0074277855	32.478397
10.300001	70	0.50735366	0.05831776	0.20054983	-0.25521854	0.4008957	0.02347096	27.922071
10.300001	50	0.06878937	0.0703313	-0.2986841	-0.3281044	0.001051865	-0.017238922	31.349573
10.300001	55	0.18200928	0.07142193	-0.1945638	-0.32684597	0.09834805	-7.5426156E-4	30.323486
10.300001	60	0.29261652	0.06882466	-0.07310453	-0.30793637	0.19723159	-0.012911159	29.401615
10.300001	65	0.4023143	0.06729961	0.056613106	-0.2916487	0.29959294	-0.006167958	28.56186
10.300001	75	0.60775054	0.054078184	0.35077628	-0.22720298	0.50517493	0.0043972153	27.429287
10.300001	80	0.703492	0.050159078	0.49688658	-0.19283292	0.5949707	-0.014711576	27.070757
10.300001	85	0.789484	0.04195038	0.64244413	-0.15385932	0.69697255	0.0183543	26.926329
10.400002	20	-0.5933082	0.058529504	-0.72157043	-0.23384604	-0.60012215	-0.0025079052	39.011803
10.400002	10	-0.7988894	0.040534068	-0.84542036	-0.14762825	-0.80146986	0.008408532	41.92637
10.400002	35	-0.2698654	0.07183797	-0.5418077	-0.31429502	-0.29519206	-0.0144746695	34.931423
10.300001	90	0.86868095	0.03248614	0.77713335	-0.110838324	0.79901177	-0.007829491	26.955208
10.400002	15	-0.6966847	0.049714003	-0.7818028	-0.1932105	-0.6967676	0.005831831	40.456768
10.400002	25	-0.4872698	0.061466843	-0.66489863	-0.2615475	-0.5011798	-0.0012552779	37.610054
10.400002	45	-0.045786355	0.07174737	-0.39130273	-0.33625743	-0.09692416	0.0	32.48261
10.400002	30	-0.3794157	0.06714016	-0.60533667	-0.29243976	-0.40628588	0.013575702	36.24801
10.400002	40	-0.15849113	0.07078666	-0.47106406	-0.3311415	-0.19856098	0.0029750355	33.711716
10.400002	50	0.066861324	0.07310867	-0.2963852	-0.33388776	-0.008701548	-0.003602106	31.35248
10.400002	55	0.18064639	0.07113686	-0.19371785	-0.33104438	0.09707744	0.011111111	30.29076
10.400002	60	0.2919975	0.0710375	-0.07125664	-0.31184492	0.20256129	0.011212121	29.358017
10.400002	75	0.6080079	0.05494938	0.3512687	-0.22891301	0.50017613	-0.016749822	27.400042
10.400002	70	0.50804555	0.059284694	0.20003743	-0.25480333	0.39417818	-0.02159973	27.883429
10.400002	65	0.40119705	0.06558412	0.06060481	-0.29426667	0.30888948	0.019496856	28.567762
10.400002	80	0.70234597	0.048976306	0.49961656	-0.19329695	0.5959044	-0.012972148	27.076464
10.500002	15	-0.6962361	0.052521978	-0.7812275	-0.19660713	-0.69993436	-0.0026892843	40.383263
10.400002	90	0.86827236	0.0316015	0.7773869	-0.110305004	0.80183756	0.014780498	26.938301
10.400002	85	0.7904684	0.03870267	0.6409441	-0.15234882	0.70431685	-0.010387535	26.891207
10.500002	20	-0.59349406	0.055346403	-0.7207683	-0.2297222	-0.59901375	0.019709768	38.953865
10.500002	10	-0.79980594	0.04295499	-0.8440627	-0.14964293	-0.80249494	0.0018021626	41.89087
10.500002	25	-0.4861491	0.061018772	-0.66377306	-0.26559854	-0.50454885	0.025200587	37.566242
10.500002	30	-0.3796586	0.06768044	-0.6038745	-0.29517916	-0.39960563	0.002521779	36.219856
10.500002	45	-0.046175197	0.073162265	-0.3898214	-0.33861312	-0.10625257	0.0076152305	32.431652
10.500002	35	-0.27011445	0.06750426	-0.5407172	-0.313098	-0.30011135	0.020627161	34.916664
10.500002	70	0.5068904	0.060603317	0.20150597	-0.25844583	0.40288988	0.012995452	27.904827
10.500002	40	-0.15916525	0.07256097	-0.46970743	-0.32591736	-0.20385276	-0.016631236	33.64717
10.500002	75	0.6083573	0.053470638	0.34992272	-0.2275048	0.49556017	0.0017580872	27.369934
10.500002	60	0.2924156	0.06977904	-0.0734945	-0.31670168	0.20035022	0.020633971	29.358915
10.500002	50	0.06737642	0.07229007	-0.29831058	-0.34102872	0.0018711917	0.0012108167	31.326332
10.500002	55	0.17996015	0.071271874	-0.1919164	-0.3243335	0.10014015	-0.019968843	30.278027
